"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796W62","Bill","13-Week","08/15/2022","08/18/2022","11/17/2022","99.340250"
"912796YA1","Bill","26-Week","08/15/2022","08/18/2022","02/16/2023","98.473222"
"912796XV6","Bill","4-Week","08/11/2022","08/16/2022","09/13/2022","99.832778"
"912796YD5","Bill","8-Week","08/11/2022","08/16/2022","10/11/2022","99.622000"
"912810TJ7","Bond","30-Year","08/11/2022","08/15/2022","08/15/2052","97.941002"
"912796YY9","Bill","119-Day","08/10/2022","08/16/2022","12/13/2022","99.081056"
"91282CFF3","Note","10-Year","08/10/2022","08/15/2022","08/15/2032","99.956556"
"91282CFE6","Note","3-Year","08/09/2022","08/15/2022","08/15/2025","99.781411"
"912796XY0","Bill","52-Week","08/09/2022","08/11/2022","08/10/2023","96.764444"
"912796W54","Bill","13-Week","08/08/2022","08/11/2022","11/10/2022","99.347833"
"912796XZ7","Bill","26-Week","08/08/2022","08/11/2022","02/09/2023","98.463111"
"912796XU8","Bill","4-Week","08/04/2022","08/09/2022","09/06/2022","99.835889"
"912796YC7","Bill","8-Week","08/04/2022","08/09/2022","10/04/2022","99.645333"
"912796YX1","Bill","119-Day","08/03/2022","08/09/2022","12/06/2022","99.097583"
"912796N96","Bill","13-Week","08/01/2022","08/04/2022","11/03/2022","99.370583"
"912796XT1","Bill","26-Week","08/01/2022","08/04/2022","02/02/2023","98.559167"
"912796XP9","Bill","4-Week","07/28/2022","08/02/2022","08/30/2022","99.833556"
"912796XX2","Bill","8-Week","07/28/2022","08/02/2022","09/27/2022","99.656222"
"91282CFC0","Note","7-Year","07/28/2022","08/01/2022","07/31/2029","99.335208"
"912796YS2","Bill","119-Day","07/27/2022","08/02/2022","11/29/2022","99.110806"
"91282CFD8","Note","2-Year","07/27/2022","08/01/2022","07/31/2024","99.999954"
"91282CFB2","Note","5-Year","07/26/2022","08/01/2022","07/31/2027","99.491044"
"91282CFA4","Note","2-Year","07/25/2022","08/01/2022","07/31/2024","99.971015"
"912796V71","Bill","13-Week","07/25/2022","07/28/2022","10/27/2022","99.363000"
"912796S34","Bill","26-Week","07/25/2022","07/28/2022","01/26/2023","98.523778"
"91282CEZ0","Note","10-Year","07/21/2022","07/29/2022","07/15/2032","100.446487"
"912796XN4","Bill","4-Week","07/21/2022","07/26/2022","08/23/2022","99.835111"
"912796XW4","Bill","8-Week","07/21/2022","07/26/2022","09/20/2022","99.653111"
"912810TH1","Bond","19-Year 10-Month","07/20/2022","08/01/2022","05/15/2042","97.563393"
"912796YR4","Bill","119-Day","07/20/2022","07/26/2022","11/22/2022","99.100889"
"912796V63","Bill","13-Week","07/18/2022","07/21/2022","10/20/2022","99.375639"
"912796XS3","Bill","26-Week","07/18/2022","07/21/2022","01/19/2023","98.528833"
"912796XM6","Bill","4-Week","07/14/2022","07/19/2022","08/16/2022","99.846000"
"912796XV6","Bill","8-Week","07/14/2022","07/19/2022","09/13/2022","99.646889"
"91282CEL1","Note","1-Year 10-Month","07/14/2022","07/18/2022","04/30/2024","99.884582"
"912796YQ6","Bill","119-Day","07/13/2022","07/19/2022","11/15/2022","99.140556"
"912810TG3","Bond","29-Year 10-Month","07/13/2022","07/15/2022","05/15/2052","95.354138"
"91282CEP2","Note","9-Year 10-Month","07/12/2022","07/15/2022","05/15/2032","99.274623"
"912796XQ7","Bill","52-Week","07/12/2022","07/14/2022","07/13/2023","97.007111"
"91282CEY3","Note","3-Year","07/11/2022","07/15/2022","07/15/2025","99.735500"
"912796V55","Bill","13-Week","07/11/2022","07/14/2022","10/13/2022","99.466639"
"912796XR5","Bill","26-Week","07/11/2022","07/14/2022","01/12/2023","98.642583"
"912796XL8","Bill","4-Week","07/07/2022","07/12/2022","08/09/2022","99.881000"
"912796XU8","Bill","8-Week","07/07/2022","07/12/2022","09/06/2022","99.713778"
"912796YP8","Bill","119-Day","07/06/2022","07/12/2022","11/08/2022","99.262861"
"912796M89","Bill","13-Week","07/05/2022","07/07/2022","10/06/2022","99.532361"
